"","BART_square_error1","BART_square_error2","BART_square_error3","BART_cover1","BART_cover2","BART_cover3","BART_length1","BART_length2","BART_length3","MICE_square_error1","MICE_square_error2","MICE_square_error3","MICE_cover1","MICE_cover2","MICE_cover3","MICE_length1","MICE_length2","MICE_length3","Cox_square_error1","Cox_square_error2","Cox_square_error3","Cox_cover1","Cox_cover2","Cox_cover3","Cox_length1","Cox_length2","Cox_length3"
"153",0.0476475758206109,0.000237196266110467,0.0196587777375686,0,1,1,0.199371963480791,0.665612692658522,0.288125267875266,0.0295790979780923,0.0553346516008965,0.122223508030055,0,0,0,0.330894297173926,0.445615604749633,0.303487579502524,0.0123266321822824,0.00201495426264241,0.000174308966870105,1,1,1,0.561732140705037,0.963976015279903,0.502618867726151
"154",0.0352543621137572,0.0377202943355344,0.0085010432362137,0,1,1,0.212149911942554,0.661584759586236,0.263607905026198,0.0174827326358445,0.00667713257810431,0.0978784757058286,0,1,0,0.252142393208606,0.638103410299153,0.366020535641555,1.51346427598996e-08,0.0926283637772321,0.00437531691940649,1,1,1,0.494686185462116,0.970004779116104,0.49676201406042
"155",0.0378284383299039,0.00150631676796255,0.000307907161492238,0,1,1,0.234437232364874,0.572031100708089,0.330370110595522,0.00932682821247401,0.0189539552861915,0.0419332447887405,1,1,0,0.268360251060211,0.573837444752989,0.281784146286549,0.0357174975174076,0.000225252661993286,0.00120434661844331,1,1,1,0.624202786297831,0.941170856518729,0.504396636810384
"156",0.0482715209550934,0.053256350457298,0.0085341592832658,0,1,1,0.285218020538032,0.669417213393976,0.400707010174375,0.0396363655308252,0.0469086700223321,0.12420917957215,0,1,0,0.270059188322978,0.50486839995021,0.285439120723713,0.0283373023210951,0.0743210222325071,0.00280116998400128,1,1,1,0.576175436165323,0.931960250627241,0.52125443429816
"157",0.0273320135938971,0.0178403514170316,0.0209515818221569,0,1,0,0.284703779202028,0.519997062772002,0.16444829036144,0.010085345526262,0.0207060317206001,0.0896612655304198,1,1,0,0.263747577324089,0.618704562547406,0.246595220667164,0.00790814803864131,0.0042091550862262,0.000106680261043385,1,1,1,0.513719161316739,0.86214919051927,0.385407222247217
"158",0.0143361165621417,0.0099421147112524,0.018130896577103,1,1,0,0.297204476098508,0.540436407113228,0.244710078208369,0.0106182225625565,0.0705697662997936,0.127145611310595,1,1,0,0.268105930979948,0.541589531975997,0.337594489941558,0.000692139454246944,0.0955817502263607,0.0727518690597178,1,1,1,0.705717324621249,1.27675662773319,0.638837005136119
"159",0.00022676448371598,0.000249636898774505,0.00041015483706252,1,1,1,0.210884178810539,0.536756727207393,0.299963643776882,0.00133454575969919,0.0208834995644453,0.08021790066595,1,1,0,0.256498292752323,0.564166935816889,0.279280556311105,0.140789501198159,0.166993256027087,0.0360969100491452,0,1,1,0.608936717208721,0.981000165426298,0.488439972634481
"160",0.0103946474908158,0.0165395915997792,0.015745817898681,0,1,1,0.16717360128699,0.564854385602549,0.255354118714606,0.00366594633247421,0.00133452626094283,0.143196296512191,1,1,0,0.279358842224171,0.552919030790679,0.216517754586962,0.0477797461856885,0.12110101993331,0.0129711184672268,1,1,1,0.548942222016494,0.926627808212065,0.556862627411415
"161",0.00353465403008261,0.000506862076923131,0.00153711537993342,1,1,1,0.276727975927044,0.557791755108139,0.548304440404867,4.1293520578744e-05,0.0180446731726082,0.0777783641419745,1,1,0,0.30914338079201,0.456503397377555,0.31592144967535,0.0170140764062432,0.0138158914838985,0.00433287946858064,1,1,1,0.535500884467285,0.934807803322172,0.553001409301346
"162",0.00305386972175938,0.0437560114428973,0.00649479219794779,1,1,1,0.215677331704351,0.641685137870397,0.258767694642457,9.9974209079719e-09,0.089447080669561,0.112330899530614,1,0,0,0.232732733037482,0.489913914598266,0.217583132814715,0.0533285767380489,0.0011539150165061,0.00295636081525598,1,1,1,0.525920056142441,0.978725707329581,0.464533972082405
"163",0.0343508200386297,0.0471674646174881,0.00684190824795119,0,1,1,0.231382119048326,0.420152921036445,0.252202282078922,0.0116486881344239,0.000291851094099801,0.0947877316066701,1,1,0,0.27707971604837,0.586050641370329,0.25788677240204,0.0439208109181248,0.106514463959324,0.00491926306217806,1,1,1,0.493182589768583,0.812956542858784,0.424478497115921
"164",0.00541675689652842,0.0075345216726546,0.0318066240247672,1,1,0,0.251436915275045,0.62459425791509,0.214181848361465,0.001437172635528,0.0193386126020853,0.0788927499672403,1,1,0,0.257177616346194,0.450749474875107,0.244543694007027,0.0200197900301136,0.00455734720494038,0.000122512317086589,1,1,1,0.529550095050674,0.870819447931492,0.48154358503678
